org,teamproject,repo,pipeline,url
"contosodevopstest","AzureFunctions","AzureFunctions","\AzureFunctions_CI","https://dev.azure.com/contosodevopstest/AzureFunctions/_build?definitionId=13"
"contosodevopstest","AzureFunctions","AzureFunctions","\AzureFunctions_CI-YAML","https://dev.azure.com/contosodevopstest/AzureFunctions/_build?definitionId=12"
"contosodevopstest","MyHealthClinic","MyHealthClinic","\MyHealthClinic_CICD","https://dev.azure.com/contosodevopstest/MyHealthClinic/_build?definitionId=15"
"contosodevopstest","MyHealthClinic","MyHealthClinic","\MyHealthClinicE2E","https://dev.azure.com/contosodevopstest/MyHealthClinic/_build?definitionId=1"
"contosodevopstest","PartsUnlimited-YAML","PartsUnlimited","\PartsUnlimited","https://dev.azure.com/contosodevopstest/PartsUnlimited-YAML/_build?definitionId=17"
"contosodevopstest","Proj_P1","Proj_P1","\P1-CI-Pipeline","https://dev.azure.com/contosodevopstest/Proj_P1/_build?definitionId=16"
"contosodevopstest","Azure Migration - IaC","IaC Migration","\Test-Migration-Pipeline","https://dev.azure.com/contosodevopstest/Azure%20Migration%20-%20IaC/_build?definitionId=20"
"contosodevopstest","Azure Migration - IaC","IaC Migration","\Prod-Migration-Wave-Pipeline","https://dev.azure.com/contosodevopstest/Azure%20Migration%20-%20IaC/_build?definitionId=19"
"contosodevopstest","Azure Migration - IaC","IaC Migration","\Bicep-Migration-Pipeline","https://dev.azure.com/contosodevopstest/Azure%20Migration%20-%20IaC/_build?definitionId=18"
"contosodevopstest","Tailwind Traders","TailwindTraders-Backend","\Backend-CI","https://dev.azure.com/contosodevopstest/Tailwind%20Traders/_build?definitionId=8"
"contosodevopstest","Tailwind Traders","TailwindTraders-Website","\Website-CI","https://dev.azure.com/contosodevopstest/Tailwind%20Traders/_build?definitionId=9"
"contosodevopstest","MyShuttle","MyShuttle","\MyShuttle_CICD","https://dev.azure.com/contosodevopstest/MyShuttle/_build?definitionId=14"
"contosodevopstest","MyShuttle","MyShuttle","\MyShuttleDockerBuild","https://dev.azure.com/contosodevopstest/MyShuttle/_build?definitionId=7"
"contosodevopstest","MyShuttle","MyShuttle","\MyShuttleBuild","https://dev.azure.com/contosodevopstest/MyShuttle/_build?definitionId=6"
"contosodevopstest","MyShuttle","MyShuttle","\MyShuttle-YAML","https://dev.azure.com/contosodevopstest/MyShuttle/_build?definitionId=5"
"contosodevopstest","MyShuttle","MyShuttle","\MyShuttle-Docker-YAML","https://dev.azure.com/contosodevopstest/MyShuttle/_build?definitionId=4"
"contosodevopstest","Azure Kubernetes Service","AKS","\MyHealth.AKS.build-YAML","https://dev.azure.com/contosodevopstest/Azure%20Kubernetes%20Service/_build?definitionId=11"
"contosodevopstest","Azure Kubernetes Service","AKS","\MyHealth.AKS.build","https://dev.azure.com/contosodevopstest/Azure%20Kubernetes%20Service/_build?definitionId=10"
"contosodevopstest","eShopOnWeb","eShopOnWeb","\eShopOnWeb","https://dev.azure.com/contosodevopstest/eShopOnWeb/_build?definitionId=2"
