org,teamproject,url,repo-count,pipeline-count,pr-count
"contosodevopstest","demotest","https://dev.azure.com/contosodevopstest/demotest",1,0,0
"contosodevopstest","AzureFunctions","https://dev.azure.com/contosodevopstest/AzureFunctions",1,2,0
"contosodevopstest","MyHealthClinic","https://dev.azure.com/contosodevopstest/MyHealthClinic",1,2,1
"contosodevopstest","Server Migration","https://dev.azure.com/contosodevopstest/Server%20Migration",1,0,0
"contosodevopstest","SQL Migration","https://dev.azure.com/contosodevopstest/SQL%20Migration",1,0,0
"contosodevopstest","SmartHotel360","https://dev.azure.com/contosodevopstest/SmartHotel360",1,0,0
"contosodevopstest","demo-project","https://dev.azure.com/contosodevopstest/demo-project",1,0,0
"contosodevopstest","PartsUnlimited-YAML","https://dev.azure.com/contosodevopstest/PartsUnlimited-YAML",1,1,0
"contosodevopstest","ContosoAir","https://dev.azure.com/contosodevopstest/ContosoAir",1,0,0
"contosodevopstest","Proj_P1","https://dev.azure.com/contosodevopstest/Proj_P1",1,1,0
"contosodevopstest","StarReads","https://dev.azure.com/contosodevopstest/StarReads",1,0,0
"contosodevopstest","Youtube Clone","https://dev.azure.com/contosodevopstest/Youtube%20Clone",1,0,0
"contosodevopstest","Azure Migration - IaC","https://dev.azure.com/contosodevopstest/Azure%20Migration%20-%20IaC",1,3,0
"contosodevopstest","Tailwind Traders","https://dev.azure.com/contosodevopstest/Tailwind%20Traders",2,2,0
"contosodevopstest","MyShuttle","https://dev.azure.com/contosodevopstest/MyShuttle",1,5,0
"contosodevopstest","Azure Kubernetes Service","https://dev.azure.com/contosodevopstest/Azure%20Kubernetes%20Service",1,2,0
"contosodevopstest","eShopOnWeb","https://dev.azure.com/contosodevopstest/eShopOnWeb",1,1,2
